classname,time,groupNo
activities.tests.apis.test_apis.TestActivityAPIAsDispatcher,1,1
activities.tests.apis.test_apis.TestActivityAPIAsDispatcher,3,2
activities.tests.apis.v3.test_apis.TestActivitiesAPIAsDispatcher,5,1
activities.tests.apis.v3.test_apis.TestActivitiesAPIAsDispatcher,6,1
activities.tests.apis.v3.test_apis.TestActivitiesAPIAsDispatcher,7,1
activities.tests.apis.v3.test_apis.TestActivitiesAPIAsDispatcher,5,1
activities.tests.apis.v3.test_apis.TestActivitiesAPIAsDispatcher,5,2
activities.tests.apis.v3.test_apis.TestActivitiesAPIAsDispatcher,5,2
activities.tests.apis.v3.test_apis.TestActivitiesAPIAsDispatcher,13,2
activities.tests.apis.v3.test_apis.TestActivitiesAPIAsDispatcher,5,3
activities.tests.apis.v3.test_apis.TestActivitiesAPIAsDispatcher,5,3
activities.tests.apis.v3.test_apis.TestActivitiesAPIAsDispatcher,6,3
activities.tests.apis.v3.test_apis.TestActivitiesAPIAsDispatcher,5,3
activities.tests.apis.v3.test_apis.TestActivitiesAPIAsDispatcher,6,4
activities.tests.apis.v3.test_apis.TestActivitiesAPIAsDispatcher,5,4
activities.tests.apis.v3.test_apis.TestActivitiesAPIAsDispatcher,5,4
activities.tests.apis.v3.test_apis.TestActivitiesAPIAsDispatcher,5,4
activities.tests.apis.v3.test_apis.TestActivitiesAPIAsDispatcher,5,5
activities.tests.apis.v3.test_apis.TestActivitiesAPIAsDispatcher,5,5
activities.tests.apis.v3.test_apis.TestActivitiesAPIAsDispatcher,5,5
activities.tests.apis.v3.test_apis.TestActivitiesAPIAsDispatcher,6,5
afm_integration.tests.test_afm_rule_engine_integration.AFMRuleEngineClientActionsTests,0,1
afm_integration.tests.test_afm_rule_engine_integration.AFMRuleEngineClientExceptionsTests,0,1
afm_integration.tests.test_afm_rule_engine_integration.AFMRuleEngineClientExceptionsTests,0,1
afm_integration.tests.test_afm_rule_engine_integration.AFMRuleEngineClientExceptionsTests,0,1
afm_integration.tests.test_afm_rule_engine_integration.AFMRuleEngineClientExceptionsTests,0,1
afm_integration.tests.test_afm_rule_engine_integration.AFMRuleEngineClientExceptionsTests,0,1
afm_integration.tests.test_afm_rule_engine_serializers.TestJobTicketSerializer,0,1
afm_integration.tests.test_afm_rule_engine_serializers.TestJobTicketSerializer,0,1
afm_integration.tests.test_afm_rule_engine_serializers.TestJobTicketSerializer,1,2
afm_integration.tests.test_afm_rule_engine_serializers.TestJobTicketSerializer,0,3
afm_integration.tests.test_apis.TestMonOffreApis,1,2
afm_integration.tests.test_apis.TestMonOffreApis,1,3
afm_integration.tests.test_apis.TestMonOffreApis,1,4
afm_integration.tests.test_signals.TestTicketFullyCreatedHandler,0,1
afm_integration.tests.test_signals.TestTicketFullyCreatedHandler,0,1
afm_integration.tests.test_signals.TestTicketFullyCreatedHandler,0,1
afm_integration.tests.test_signals.TestTicketUpdateSignal,1,1
afm_integration.tests.test_signals.TestTicketUpdateSignal,0,1
afm_integration.tests.test_signals.TestTicketUpdateSignal,1,2
afm_integration.tests.test_signals.TestTicketUpdateSignal,0,2
afm_integration.tests.test_signals.TestTicketUpdateSignal,0,2
afm_integration.tests.test_svc_tenant_config.TestTenantConfigManangement,0,1
afm_integration.tests.test_svc_tenant_config.TestTenantConfigManangement,0,1
afm_integration.tests.test_svc_tenant_config.TestTenantConfigManangement,0,1
afm_integration.tests.test_tasks.TestVehicleAlertToTicketMapping,1,1
afm_integration.tests.test_tasks.TestVehicleAlertToTicketMapping,1,2
afm_integration.tests.test_tasks.TestVehicleAlertToTicketMapping,1,3
afm_integration.tests.test_tasks.TestVehicleAlertToTicketMapping,1,4
afm_integration.tests.test_tasks.TestVehicleAlertToTicketMapping,0,4
afm_integration.tests.test_tasks.TestVehicleAlertToTicketMapping,1,5
afm_integration.tests.test_tasks.TestVehicleAlertToTicketMappingMultipleServices,1,1
afm_integration.tests.test_tasks.TestVehicleAlertToTicketMappingMultipleServices,1,2
afm_integration.tests.test_tasks.TestVehicleAlertToTicketMappingMultipleServices,1,3
afm_integration.tests.test_webhook_api.TestAfmApiViewSet,0,1
afm_integration.tests.test_webhook_api.TestAfmApiViewSet,0,1
afm_integration.tests.test_webhook_api.TestAfmApiViewSet,0,1
afm_integration.tests.test_webhook_api.TestAfmApiViewSet,0,1
afm_integration.tests.test_webhook_api.TestAfmApiViewSet,0,1
afm_integration.tests.test_webhook_api.TestAfmApiViewSet,0,1
afm_integration.tests.test_webhook_api.TestAfmApiViewSet,0,1
afm_integration.tests.test_webhook_api.TestAfmApiViewSet,0,1
afm_integration.tests.test_webhook_api.TestAfmApiViewSet,0,1
afm_integration.tests.test_webhook_api.TestAfmApiViewSet,0,1
afm_integration.tests.test_webhook_api.TestAfmApiViewSet,0,1
afm_integration.tests.test_webhook_api.TestAfmApiViewSet,0,1
afm_integration.tests.test_webhook_api.TestAfmApiViewSet,0,1
afm_integration.tests.test_webhook_api.TestAfmApiViewSet,0,1
afm_integration.tests.test_webhook_api.TestAfmApiViewSet,1,1
afm_integration.tests.test_webhook_api.TestAfmApiViewSet,0,1
afm_integration.tests.test_webhook_api.TestAfmApiViewSet,0,1
afm_integration.tests.test_webhook_api.TestAfmApiViewSet,0,1
afm_integration.tests.test_webhook_api.TestAfmApiViewSet,0,1
afm_integration.tests.test_webhook_api.TestAfmApiViewSet,0,1
afm_integration.tests.test_webhook_api.TestAfmApiViewSet,0,1
afm_integration.tests.test_webhook_api.TestAfmApiViewSet,0,1
afm_integration.tests.test_webhook_api.TestAfmApiViewSet,0,1
afm_integration.tests.test_webhook_api.TestAfmApiViewSet,0,1
afm_integration.tests.test_webhook_api.TestAfmApiViewSet,0,1
afm_integration.tests.test_webhook_api.TestAfmApiViewSet,0,1
app_logging.tests.apis.test_app_opens.TestAppOpens,0,1
app_logging.tests.apis.test_app_opens.TestAppOpens,0,1
app_logging.tests.apis.test_app_opens.TestAppOpens,0,1
app_logging.tests.apis.test_app_opens.TestAppOpens,0,1
app_logging.tests.apis.test_customer_device_context.TestCustomersDeviceContextAPI,0,1
app_logging.tests.apis.test_customer_device_context.TestCustomersDeviceContextAPI,0,1
app_logging.tests.apis.test_customer_device_context.TestCustomersDeviceContextAPI,0,1
app_logging.tests.apis.test_customer_device_context.TestCustomersDeviceContextAPI,0,1
app_logging.tests.apis.test_customer_device_context.TestCustomersDeviceContextAPI,0,1
